Status,Date,Description,Debit,Credit
Cleared,04/01/2025,PAYMENT RECEIVED ONLINE - THANK YOU,,430.00
Cleared,04/04/2025,TRADER JOE'S #344,54.30,
Cleared,04/07/2025,HOME DEPOT #0822,89.40,
Cleared,04/10/2025,COMCAST CABLE PAYMENT,94.99,
Cleared,11/07,2025,HOME DEPOT #0822,168.30,
Cleared,11/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,11/13,2025,AMAZON.COM,278.40,
Cleared,11/16,2025,HULU,17.99,
Cleared,11/19,2025,PLANET FITNESS,24.99,
Cleared,11/22,2025,CVS PHARMACY,28.40,
Cleared,11/25,2025,LOWES STORE #2344,44.80,
Cleared,11/28,2025,DUNKIN' #0341,9.50,
Cleared,12/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,640.00
Cleared,12/04,2025,TRADER JOE'S #344,98.60,
Cleared,12/07,2025,HOME DEPOT #0822,122.40,
Cleared,12/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,12/13,2025,BEST BUY,345.00,
Cleared,12/16,2025,HULU,17.99,
Cleared,12/19,2025,PLANET FITNESS,24.99,
Cleared,12/22,2025,WALGREENS PHARMACY,52.80,
Cleared,12/25,2025,LOWES STORE #2344,88.30,
Cleared,12/28,2025,DUNKIN' #0341,8.90,
Cleared,01/01,2026,PAYMENT RECEIVED ONLINE - THANK YOU,,450.00
Cleared,01/04,2026,TRADER JOE'S #344,60.20,
Cleared,01/07,2026,HOME DEPOT #0822,88.60,
Cleared,01/10,2026,COMCAST CABLE PAYMENT,94.99,
Cleared,01/13,2026,BEST BUY,72.40,
Cleared,01/16,2026,HULU,17.99,
Cleared,01/19,2026,PLANET FITNESS,24.99,
Cleared,01/22,2026,CVS PHARMACY,24.80,
Cleared,01/25,2026,LOWES STORE #2344,66.40,
Cleared,01/28,2026,DUNKIN' #0341,7.20,
Cleared,02/01,2026,PAYMENT RECEIVED ONLINE - THANK YOU,,430.00
Cleared,02/04,2026,TRADER JOE'S #344,55.40,
Cleared,02/07,2026,HOME DEPOT #0822,76.80,
Cleared,02/10,2026,COMCAST CABLE PAYMENT,94.99,
Cleared,02/13,2026,WAYFAIR,142.00,
Cleared,02/16,2026,HULU,17.99,
Cleared,02/19,2026,PLANET FITNESS,24.99,
Cleared,02/22,2026,WALGREENS PHARMACY,21.60,
Cleared,02/25,2026,LOWES STORE #2344,54.30,
Cleared,02/28,2026,DUNKIN' #0341,8.40,
Cleared,03/01,2026,PAYMENT RECEIVED ONLINE - THANK YOU,,460.00
Cleared,03/04,2026,TRADER JOE'S #344,67.80,
Cleared,03/07,2026,HOME DEPOT #0822,104.20,
Cleared,03/10,2026,COMCAST CABLE PAYMENT,94.99,
Cleared,03/13,2026,BEST BUY,88.40,
Cleared,03/16,2026,HULU,17.99,
Cleared,03/19,2026,PLANET FITNESS,24.99,
Cleared,03/22,2026,CVS PHARMACY,33.40,
Cleared,03/25,2026,LOWES STORE #2344,78.60,
Cleared,03/28,2026,DUNKIN' #0341,9.10,
