Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,10/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,31482.72,
CREDIT,10/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,34982.72,
DEBIT,10/22/2024,UBER,-16.68,POS,34966.03,
DEBIT,10/19/2024,MCDONALDS,-16.53,POS,34949.50,
DEBIT,10/22/2024,TARGET START,-80.51,POS,34868.99,
DEBIT,10/09/2024,UBER,-23.81,POS,34845.18,
DEBIT,10/18/2024,WHOLE FOODS MARKET,-112.51,POS,34732.68,
DEBIT,10/25/2024,AMEX EPAYMENT ACH PMT,-560.76,ACH_DEBIT,34171.92,
DEBIT,10/25/2024,CITI AUTOPAY PAYMENT,-710.26,ACH_DEBIT,33461.66,
CREDIT,11/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,36961.66,
CREDIT,11/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,40461.66,
DEBIT,11/21/2024,AMAZON.COM,-64.16,POS,40397.49,
DEBIT,11/05/2024,UBER,-44.93,POS,40352.57,
DEBIT,11/21/2024,MCDONALDS,-18.51,POS,40334.06,
DEBIT,11/14/2024,MCDONALDS,-17.13,POS,40316.92,
DEBIT,11/14/2024,AMAZON.COM,-40.79,POS,40276.13,
DEBIT,11/25/2024,AMEX EPAYMENT ACH PMT,-559.30,ACH_DEBIT,39716.83,
DEBIT,11/25/2024,CITI AUTOPAY PAYMENT,-279.81,ACH_DEBIT,39437.02,
CREDIT,12/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,42937.02,
CREDIT,12/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,46437.02,
DEBIT,12/20/2024,TARGET START,-99.51,POS,46337.51,
DEBIT,12/10/2024,AMAZON.COM,-107.86,POS,46229.65,
DEBIT,12/02/2024,STARBUCKS,-14.85,POS,46214.80,
DEBIT,12/05/2024,TARGET START,-98.52,POS,46116.29,
DEBIT,12/06/2024,STARBUCKS,-13.91,POS,46102.38,
DEBIT,12/25/2024,AMEX EPAYMENT ACH PMT,-608.45,ACH_DEBIT,45493.93,
DEBIT,12/25/2024,CITI AUTOPAY PAYMENT,-650.61,ACH_DEBIT,44843.32,
CREDIT,01/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,48343.32,
CREDIT,01/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,51843.32,
DEBIT,01/12/2025,STARBUCKS,-12.80,POS,51830.52,
DEBIT,01/04/2025,MCDONALDS,-10.31,POS,51820.21,
DEBIT,01/14/2025,STARBUCKS,-14.19,POS,51806.02,
DEBIT,01/08/2025,WHOLE FOODS MARKET,-128.92,POS,51677.10,
DEBIT,01/06/2025,STARBUCKS,-9.73,POS,51667.37,
DEBIT,01/25/2025,AMEX EPAYMENT ACH PMT,-379.16,ACH_DEBIT,51288.21,
DEBIT,01/25/2025,CITI AUTOPAY PAYMENT,-598.73,ACH_DEBIT,50689.48,
CREDIT,02/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,54189.48,
CREDIT,02/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,57689.48,
DEBIT,02/28/2025,TARGET START,-89.92,POS,57599.56,
DEBIT,02/25/2025,MCDONALDS,-11.04,POS,57588.52,
DEBIT,02/06/2025,STARBUCKS,-9.86,POS,57578.66,
DEBIT,02/01/2025,TARGET START,-89.19,POS,57489.47,
DEBIT,02/21/2025,STARBUCKS,-11.03,POS,57478.44,
DEBIT,02/25/2025,AMEX EPAYMENT ACH PMT,-456.94,ACH_DEBIT,57021.50,
DEBIT,02/25/2025,CITI AUTOPAY PAYMENT,-506.56,ACH_DEBIT,56514.94,
CREDIT,03/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,60014.94,
CREDIT,03/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,63514.94,
DEBIT,03/07/2025,TARGET START,-98.07,POS,63416.88,
DEBIT,03/17/2025,TARGET START,-84.26,POS,63332.61,
DEBIT,03/22/2025,WHOLE FOODS MARKET,-144.11,POS,63188.50,
DEBIT,03/18/2025,TARGET START,-65.20,POS,63123.31,
DEBIT,03/01/2025,MCDONALDS,-13.16,POS,63110.15,
DEBIT,03/25/2025,AMEX EPAYMENT ACH PMT,-543.35,ACH_DEBIT,62566.80,
DEBIT,03/25/2025,CITI AUTOPAY PAYMENT,-439.27,ACH_DEBIT,62127.53,
CREDIT,04/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,65627.53,
CREDIT,04/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,69127.53,
DEBIT,04/27/2025,WHOLE FOODS MARKET,-96.66,POS,69030.88,
DEBIT,04/19/2025,MCDONALDS,-19.11,POS,69011.77,
DEBIT,04/11/2025,TARGET START,-83.19,POS,68928.58,
DEBIT,04/09/2025,TARGET START,-58.52,POS,68870.05,
DEBIT,04/19/2025,STARBUCKS,-9.66,POS,68860.39,
DEBIT,04/25/2025,AMEX EPAYMENT ACH PMT,-487.09,ACH_DEBIT,68373.30,
DEBIT,04/25/2025,CITI AUTOPAY PAYMENT,-465.11,ACH_DEBIT,67908.19,
CREDIT,05/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,71408.19,
CREDIT,05/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,74908.19,
DEBIT,05/01/2025,AMAZON.COM,-37.60,POS,74870.59,
DEBIT,05/11/2025,WHOLE FOODS MARKET,-130.83,POS,74739.76,
DEBIT,05/01/2025,STARBUCKS,-13.68,POS,74726.08,
DEBIT,05/25/2025,TARGET START,-74.72,POS,74651.36,
DEBIT,05/18/2025,TARGET START,-75.50,POS,74575.86,
DEBIT,05/25/2025,AMEX EPAYMENT ACH PMT,-403.97,ACH_DEBIT,74171.89,
DEBIT,05/25/2025,CITI AUTOPAY PAYMENT,-678.01,ACH_DEBIT,73493.88,
CREDIT,06/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,76993.88,
CREDIT,06/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,80493.88,
DEBIT,06/05/2025,UBER,-44.95,POS,80448.93,
DEBIT,06/03/2025,STARBUCKS,-8.04,POS,80440.90,
DEBIT,06/11/2025,UBER,-35.84,POS,80405.05,
DEBIT,06/12/2025,WHOLE FOODS MARKET,-113.86,POS,80291.19,
DEBIT,06/04/2025,AMAZON.COM,-114.41,POS,80176.78,
DEBIT,06/25/2025,AMEX EPAYMENT ACH PMT,-530.75,ACH_DEBIT,79646.03,
DEBIT,06/25/2025,CITI AUTOPAY PAYMENT,-512.61,ACH_DEBIT,79133.42,
CREDIT,07/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,82633.42,
CREDIT,07/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,86133.42,
DEBIT,07/09/2025,UBER,-23.04,POS,86110.38,
DEBIT,07/17/2025,TARGET START,-46.66,POS,86063.72,
DEBIT,07/23/2025,STARBUCKS,-6.85,POS,86056.87,
DEBIT,07/26/2025,UBER,-28.54,POS,86028.34,
DEBIT,07/28/2025,STARBUCKS,-8.87,POS,86019.47,
DEBIT,07/25/2025,AMEX EPAYMENT ACH PMT,-433.41,ACH_DEBIT,85586.06,
DEBIT,07/25/2025,CITI AUTOPAY PAYMENT,-471.73,ACH_DEBIT,85114.33,
CREDIT,08/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,88614.33,
CREDIT,08/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,92114.33,
DEBIT,08/16/2025,MCDONALDS,-17.26,POS,92097.07,
DEBIT,08/19/2025,STARBUCKS,-11.35,POS,92085.72,
DEBIT,08/24/2025,UBER,-38.08,POS,92047.64,
DEBIT,08/16/2025,WHOLE FOODS MARKET,-127.96,POS,91919.67,
DEBIT,08/20/2025,MCDONALDS,-13.82,POS,91905.85,
DEBIT,08/25/2025,AMEX EPAYMENT ACH PMT,-591.94,ACH_DEBIT,91313.91,
DEBIT,08/25/2025,CITI AUTOPAY PAYMENT,-283.06,ACH_DEBIT,91030.85,
CREDIT,09/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,94530.85,
CREDIT,09/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,98030.85,
DEBIT,09/13/2025,TARGET START,-88.52,POS,97942.33,
DEBIT,09/11/2025,WHOLE FOODS MARKET,-122.03,POS,97820.30,
DEBIT,09/27/2025,WHOLE FOODS MARKET,-130.76,POS,97689.55,
DEBIT,09/20/2025,MCDONALDS,-13.50,POS,97676.04,
DEBIT,09/14/2025,AMAZON.COM,-26.80,POS,97649.24,
DEBIT,09/25/2025,AMEX EPAYMENT ACH PMT,-455.51,ACH_DEBIT,97193.73,
DEBIT,09/25/2025,CITI AUTOPAY PAYMENT,-440.38,ACH_DEBIT,96753.35,
CREDIT,10/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,100253.35,
CREDIT,10/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,103753.35,
DEBIT,10/20/2025,STARBUCKS,-13.78,POS,103739.57,
DEBIT,10/02/2025,AMAZON.COM,-53.97,POS,103685.60,
DEBIT,10/05/2025,UBER,-42.14,POS,103643.46,
DEBIT,10/07/2025,AMAZON.COM,-44.72,POS,103598.73,
DEBIT,10/26/2025,TARGET START,-64.18,POS,103534.55,
DEBIT,10/25/2025,AMEX EPAYMENT ACH PMT,-385.28,ACH_DEBIT,103149.27,
DEBIT,10/25/2025,CITI AUTOPAY PAYMENT,-581.24,ACH_DEBIT,102568.03,
CREDIT,11/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,106068.03,
CREDIT,11/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,109568.03,
DEBIT,11/22/2025,AMAZON.COM,-94.95,POS,109473.09,
DEBIT,11/22/2025,WHOLE FOODS MARKET,-106.23,POS,109366.86,
DEBIT,11/21/2025,AMAZON.COM,-29.98,POS,109336.88,
DEBIT,11/18/2025,MCDONALDS,-18.45,POS,109318.43,
DEBIT,11/06/2025,AMAZON.COM,-55.12,POS,109263.31,
DEBIT,11/25/2025,AMEX EPAYMENT ACH PMT,-368.69,ACH_DEBIT,108894.62,
DEBIT,11/25/2025,CITI AUTOPAY PAYMENT,-352.63,ACH_DEBIT,108541.99,
CREDIT,12/03/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,112041.99,
CREDIT,12/18/2025,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,115541.99,
DEBIT,12/17/2025,MCDONALDS,-10.09,POS,115531.90,
DEBIT,12/24/2025,WHOLE FOODS MARKET,-109.97,POS,115421.93,
DEBIT,12/19/2025,WHOLE FOODS MARKET,-134.22,POS,115287.71,
DEBIT,12/05/2025,AMAZON.COM,-100.68,POS,115187.03,
DEBIT,12/19/2025,TARGET START,-47.51,POS,115139.51,
DEBIT,12/25/2025,AMEX EPAYMENT ACH PMT,-263.68,ACH_DEBIT,114875.83,
DEBIT,12/25/2025,CITI AUTOPAY PAYMENT,-600.24,ACH_DEBIT,114275.59,
CREDIT,01/03/2026,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,117775.59,
CREDIT,01/18/2026,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,121275.59,
DEBIT,01/03/2026,WHOLE FOODS MARKET,-143.91,POS,121131.68,
DEBIT,01/19/2026,STARBUCKS,-8.56,POS,121123.13,
DEBIT,01/10/2026,MCDONALDS,-11.04,POS,121112.09,
DEBIT,01/08/2026,WHOLE FOODS MARKET,-143.85,POS,120968.25,
DEBIT,01/27/2026,MCDONALDS,-16.60,POS,120951.65,
DEBIT,01/25/2026,AMEX EPAYMENT ACH PMT,-405.80,ACH_DEBIT,120545.85,
DEBIT,01/25/2026,CITI AUTOPAY PAYMENT,-353.64,ACH_DEBIT,120192.21,
CREDIT,02/03/2026,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,123692.21,
CREDIT,02/18/2026,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,127192.21,
DEBIT,02/26/2026,TARGET START,-44.59,POS,127147.61,
DEBIT,02/05/2026,STARBUCKS,-14.50,POS,127133.11,
DEBIT,02/21/2026,TARGET START,-70.64,POS,127062.47,
DEBIT,02/10/2026,TARGET START,-86.14,POS,126976.33,
DEBIT,02/28/2026,STARBUCKS,-7.57,POS,126968.76,
DEBIT,02/25/2026,AMEX EPAYMENT ACH PMT,-329.83,ACH_DEBIT,126638.93,
DEBIT,02/25/2026,CITI AUTOPAY PAYMENT,-316.65,ACH_DEBIT,126322.28,
CREDIT,03/03/2026,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,129822.28,
CREDIT,03/18/2026,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,133322.28,
DEBIT,03/04/2026,WHOLE FOODS MARKET,-105.97,POS,133216.30,
DEBIT,03/27/2026,WHOLE FOODS MARKET,-89.66,POS,133126.64,
DEBIT,03/13/2026,TARGET START,-62.82,POS,133063.82,
DEBIT,03/09/2026,UBER,-18.89,POS,133044.93,
DEBIT,03/04/2026,WHOLE FOODS MARKET,-148.96,POS,132895.98,
DEBIT,03/25/2026,AMEX EPAYMENT ACH PMT,-445.27,ACH_DEBIT,132450.71,
DEBIT,03/25/2026,CITI AUTOPAY PAYMENT,-378.29,ACH_DEBIT,132072.42,
