Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,10/25/2025,DISCOVER E-PAYMENT,-466.86,ACH_DEBIT,2705.35,
CREDIT,11/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3705.35,
DEBIT,11/25/2025,CHASE CREDIT CRD EPAY,-321.65,ACH_DEBIT,3383.70,
DEBIT,11/25/2025,DISCOVER E-PAYMENT,-643.34,ACH_DEBIT,2740.36,
CREDIT,12/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3740.36,
DEBIT,12/25/2025,CHASE CREDIT CRD EPAY,-543.96,ACH_DEBIT,3196.40,
DEBIT,12/25/2025,DISCOVER E-PAYMENT,-536.10,ACH_DEBIT,2660.30,
CREDIT,01/03/2026,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3660.30,
DEBIT,01/25/2026,CHASE CREDIT CRD EPAY,-297.83,ACH_DEBIT,3362.47,
DEBIT,01/25/2026,DISCOVER E-PAYMENT,-377.67,ACH_DEBIT,2984.80,
CREDIT,02/03/2026,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3984.80,
DEBIT,02/25/2026,CHASE CREDIT CRD EPAY,-415.43,ACH_DEBIT,3569.37,
DEBIT,02/25/2026,DISCOVER E-PAYMENT,-404.42,ACH_DEBIT,3164.95,
CREDIT,03/03/2026,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,4164.95,
DEBIT,03/25/2026,CHASE CREDIT CRD EPAY,-409.61,ACH_DEBIT,3755.34,
DEBIT,03/25/2026,DISCOVER E-PAYMENT,-447.00,ACH_DEBIT,3308.34,
