Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,State,Zip Code,Country,Reference,Category
09/25/2024,ONLINE PAYMENT - THANK YOU,-501.00,,,,,,,USA,,
10/04/2024,STARBUCKS,11.59,,,,,,,USA,,
10/14/2024,WHOLE FOODS MARKET,136.61,,,,,,,USA,,
10/26/2024,MCDONALDS,18.54,,,,,,,USA,,
10/22/2024,STARBUCKS,10.58,,,,,,,USA,,
10/22/2024,WHOLE FOODS MARKET,90.36,,,,,,,USA,,
10/06/2024,STARBUCKS,9.55,,,,,,,USA,,
10/02/2024,STARBUCKS,7.41,,,,,,,USA,,
10/28/2024,UBER,24.41,,,,,,,USA,,
10/19/2024,TARGET START,53.46,,,,,,,USA,,
10/11/2024,STARBUCKS,7.34,,,,,,,USA,,
10/25/2024,ONLINE PAYMENT - THANK YOU,-332.87,,,,,,,USA,,
11/24/2024,UBER,44.85,,,,,,,USA,,
11/19/2024,AMAZON.COM,44.22,,,,,,,USA,,
11/06/2024,WHOLE FOODS MARKET,139.29,,,,,,,USA,,
11/12/2024,MCDONALDS,18.98,,,,,,,USA,,
11/12/2024,AMAZON.COM,101.18,,,,,,,USA,,
11/06/2024,AMAZON.COM,68.79,,,,,,,USA,,
11/17/2024,UBER,43.43,,,,,,,USA,,
11/23/2024,WHOLE FOODS MARKET,147.40,,,,,,,USA,,
11/13/2024,WHOLE FOODS MARKET,98.05,,,,,,,USA,,
11/22/2024,MCDONALDS,10.88,,,,,,,USA,,
11/25/2024,ONLINE PAYMENT - THANK YOU,-645.38,,,,,,,USA,,
12/12/2024,MCDONALDS,17.97,,,,,,,USA,,
12/08/2024,STARBUCKS,5.12,,,,,,,USA,,
12/21/2024,TARGET START,58.86,,,,,,,USA,,
12/28/2024,TARGET START,72.41,,,,,,,USA,,
12/22/2024,STARBUCKS,5.13,,,,,,,USA,,
12/27/2024,MCDONALDS,12.12,,,,,,,USA,,
12/21/2024,MCDONALDS,11.85,,,,,,,USA,,
12/01/2024,WHOLE FOODS MARKET,146.45,,,,,,,USA,,
12/01/2024,MCDONALDS,12.35,,,,,,,USA,,
12/11/2024,TARGET START,78.71,,,,,,,USA,,
12/25/2024,ONLINE PAYMENT - THANK YOU,-378.88,,,,,,,USA,,
01/16/2025,MCDONALDS,13.26,,,,,,,USA,,
01/22/2025,WHOLE FOODS MARKET,147.63,,,,,,,USA,,
01/25/2025,AMAZON.COM,101.29,,,,,,,USA,,
01/12/2025,MCDONALDS,10.44,,,,,,,USA,,
01/17/2025,TARGET START,50.71,,,,,,,USA,,
01/20/2025,UBER,38.00,,,,,,,USA,,
01/07/2025,UBER,35.64,,,,,,,USA,,
01/16/2025,TARGET START,98.34,,,,,,,USA,,
01/10/2025,MCDONALDS,19.13,,,,,,,USA,,
01/21/2025,UBER,39.29,,,,,,,USA,,
01/25/2025,ONLINE PAYMENT - THANK YOU,-498.35,,,,,,,USA,,
02/20/2025,TARGET START,89.31,,,,,,,USA,,
02/18/2025,STARBUCKS,5.25,,,,,,,USA,,
02/26/2025,TARGET START,59.97,,,,,,,USA,,
02/02/2025,AMAZON.COM,85.63,,,,,,,USA,,
02/26/2025,TARGET START,48.47,,,,,,,USA,,
02/15/2025,WHOLE FOODS MARKET,124.76,,,,,,,USA,,
02/15/2025,STARBUCKS,6.68,,,,,,,USA,,
02/03/2025,TARGET START,93.71,,,,,,,USA,,
02/26/2025,AMAZON.COM,113.89,,,,,,,USA,,
02/02/2025,STARBUCKS,5.55,,,,,,,USA,,
02/25/2025,ONLINE PAYMENT - THANK YOU,-569.91,,,,,,,USA,,
03/09/2025,MCDONALDS,16.94,,,,,,,USA,,
03/25/2025,UBER,23.70,,,,,,,USA,,
03/10/2025,TARGET START,74.28,,,,,,,USA,,
03/02/2025,MCDONALDS,11.88,,,,,,,USA,,
03/17/2025,STARBUCKS,10.65,,,,,,,USA,,
03/24/2025,STARBUCKS,10.87,,,,,,,USA,,
03/22/2025,WHOLE FOODS MARKET,146.90,,,,,,,USA,,
03/15/2025,WHOLE FOODS MARKET,145.30,,,,,,,USA,,
03/09/2025,AMAZON.COM,41.27,,,,,,,USA,,
03/16/2025,WHOLE FOODS MARKET,82.91,,,,,,,USA,,
03/25/2025,ONLINE PAYMENT - THANK YOU,-508.23,,,,,,,USA,,
04/25/2025,AMAZON.COM,45.76,,,,,,,USA,,
04/07/2025,AMAZON.COM,40.88,,,,,,,USA,,
04/07/2025,AMAZON.COM,106.06,,,,,,,USA,,
04/24/2025,UBER,17.83,,,,,,,USA,,
04/09/2025,AMAZON.COM,20.18,,,,,,,USA,,
04/19/2025,WHOLE FOODS MARKET,130.51,,,,,,,USA,,
04/17/2025,STARBUCKS,9.07,,,,,,,USA,,
04/17/2025,WHOLE FOODS MARKET,82.72,,,,,,,USA,,
04/24/2025,MCDONALDS,14.12,,,,,,,USA,,
04/20/2025,STARBUCKS,9.93,,,,,,,USA,,
04/25/2025,ONLINE PAYMENT - THANK YOU,-429.35,,,,,,,USA,,
05/26/2025,MCDONALDS,12.33,,,,,,,USA,,
05/02/2025,STARBUCKS,8.88,,,,,,,USA,,
05/13/2025,UBER,26.71,,,,,,,USA,,
05/24/2025,WHOLE FOODS MARKET,125.27,,,,,,,USA,,
05/09/2025,TARGET START,77.72,,,,,,,USA,,
05/05/2025,TARGET START,77.87,,,,,,,USA,,
05/05/2025,UBER,35.75,,,,,,,USA,,
05/24/2025,TARGET START,71.08,,,,,,,USA,,
05/24/2025,TARGET START,58.16,,,,,,,USA,,
05/22/2025,TARGET START,73.86,,,,,,,USA,,
05/25/2025,ONLINE PAYMENT - THANK YOU,-510.86,,,,,,,USA,,
06/24/2025,TARGET START,94.75,,,,,,,USA,,
06/11/2025,UBER,16.40,,,,,,,USA,,
06/19/2025,STARBUCKS,9.84,,,,,,,USA,,
06/26/2025,MCDONALDS,18.27,,,,,,,USA,,
06/26/2025,UBER,20.33,,,,,,,USA,,
06/25/2025,UBER,26.11,,,,,,,USA,,
06/02/2025,UBER,17.74,,,,,,,USA,,
06/17/2025,MCDONALDS,19.76,,,,,,,USA,,
06/17/2025,UBER,39.52,,,,,,,USA,,
06/17/2025,STARBUCKS,8.15,,,,,,,USA,,
06/25/2025,ONLINE PAYMENT - THANK YOU,-243.78,,,,,,,USA,,
07/12/2025,STARBUCKS,14.83,,,,,,,USA,,
07/11/2025,WHOLE FOODS MARKET,126.29,,,,,,,USA,,
07/25/2025,TARGET START,68.38,,,,,,,USA,,
07/12/2025,AMAZON.COM,35.00,,,,,,,USA,,
07/27/2025,WHOLE FOODS MARKET,140.42,,,,,,,USA,,
07/25/2025,AMAZON.COM,58.13,,,,,,,USA,,
07/24/2025,STARBUCKS,11.52,,,,,,,USA,,
07/08/2025,STARBUCKS,12.39,,,,,,,USA,,
07/09/2025,STARBUCKS,8.63,,,,,,,USA,,
07/17/2025,STARBUCKS,8.62,,,,,,,USA,,
07/25/2025,ONLINE PAYMENT - THANK YOU,-435.80,,,,,,,USA,,
08/25/2025,TARGET START,52.34,,,,,,,USA,,
08/27/2025,WHOLE FOODS MARKET,83.28,,,,,,,USA,,
08/06/2025,WHOLE FOODS MARKET,126.69,,,,,,,USA,,
08/15/2025,TARGET START,83.11,,,,,,,USA,,
08/21/2025,WHOLE FOODS MARKET,115.63,,,,,,,USA,,
08/16/2025,WHOLE FOODS MARKET,117.70,,,,,,,USA,,
08/15/2025,TARGET START,51.61,,,,,,,USA,,
08/15/2025,AMAZON.COM,41.03,,,,,,,USA,,
08/17/2025,MCDONALDS,19.71,,,,,,,USA,,
08/10/2025,TARGET START,85.01,,,,,,,USA,,
08/25/2025,ONLINE PAYMENT - THANK YOU,-698.49,,,,,,,USA,,
09/08/2025,UBER,19.58,,,,,,,USA,,
09/01/2025,WHOLE FOODS MARKET,128.21,,,,,,,USA,,
09/17/2025,WHOLE FOODS MARKET,102.10,,,,,,,USA,,
09/16/2025,STARBUCKS,7.49,,,,,,,USA,,
09/23/2025,UBER,37.63,,,,,,,USA,,
09/26/2025,TARGET START,52.48,,,,,,,USA,,
09/25/2025,UBER,35.84,,,,,,,USA,,
09/22/2025,TARGET START,73.40,,,,,,,USA,,
09/10/2025,STARBUCKS,14.05,,,,,,,USA,,
09/11/2025,MCDONALDS,17.26,,,,,,,USA,,
09/25/2025,ONLINE PAYMENT - THANK YOU,-439.24,,,,,,,USA,,
10/21/2025,MCDONALDS,10.55,,,,,,,USA,,
10/23/2025,TARGET START,97.23,,,,,,,USA,,
10/11/2025,MCDONALDS,12.83,,,,,,,USA,,
10/13/2025,STARBUCKS,8.42,,,,,,,USA,,
10/20/2025,UBER,16.96,,,,,,,USA,,
10/27/2025,WHOLE FOODS MARKET,129.31,,,,,,,USA,,
10/19/2025,TARGET START,50.19,,,,,,,USA,,
10/25/2025,STARBUCKS,13.56,,,,,,,USA,,
10/09/2025,AMAZON.COM,81.15,,,,,,,USA,,
10/25/2025,TARGET START,98.52,,,,,,,USA,,
10/25/2025,ONLINE PAYMENT - THANK YOU,-466.86,,,,,,,USA,,
11/20/2025,STARBUCKS,12.76,,,,,,,USA,,
11/10/2025,MCDONALDS,19.01,,,,,,,USA,,
11/10/2025,WHOLE FOODS MARKET,96.41,,,,,,,USA,,
11/10/2025,WHOLE FOODS MARKET,80.42,,,,,,,USA,,
11/13/2025,AMAZON.COM,113.26,,,,,,,USA,,
11/16/2025,STARBUCKS,10.60,,,,,,,USA,,
11/20/2025,WHOLE FOODS MARKET,113.55,,,,,,,USA,,
11/15/2025,AMAZON.COM,69.70,,,,,,,USA,,
11/16/2025,WHOLE FOODS MARKET,119.73,,,,,,,USA,,
11/21/2025,AMAZON.COM,79.39,,,,,,,USA,,
11/25/2025,ONLINE PAYMENT - THANK YOU,-643.34,,,,,,,USA,,
12/20/2025,TARGET START,60.06,,,,,,,USA,,
12/09/2025,WHOLE FOODS MARKET,125.08,,,,,,,USA,,
12/02/2025,STARBUCKS,11.41,,,,,,,USA,,
12/23/2025,WHOLE FOODS MARKET,93.68,,,,,,,USA,,
12/28/2025,MCDONALDS,12.78,,,,,,,USA,,
12/22/2025,TARGET START,85.40,,,,,,,USA,,
12/01/2025,WHOLE FOODS MARKET,102.57,,,,,,,USA,,
12/05/2025,UBER,35.00,,,,,,,USA,,
12/17/2025,MCDONALDS,19.30,,,,,,,USA,,
12/08/2025,TARGET START,50.38,,,,,,,USA,,
12/25/2025,ONLINE PAYMENT - THANK YOU,-536.10,,,,,,,USA,,
01/12/2026,AMAZON.COM,86.28,,,,,,,USA,,
01/02/2026,MCDONALDS,12.54,,,,,,,USA,,
01/03/2026,UBER,17.26,,,,,,,USA,,
01/06/2026,WHOLE FOODS MARKET,133.24,,,,,,,USA,,
01/05/2026,MCDONALDS,11.59,,,,,,,USA,,
01/12/2026,STARBUCKS,12.72,,,,,,,USA,,
01/22/2026,MCDONALDS,15.06,,,,,,,USA,,
01/27/2026,STARBUCKS,7.50,,,,,,,USA,,
01/14/2026,MCDONALDS,13.67,,,,,,,USA,,
01/23/2026,AMAZON.COM,109.77,,,,,,,USA,,
01/25/2026,ONLINE PAYMENT - THANK YOU,-377.67,,,,,,,USA,,
02/07/2026,WHOLE FOODS MARKET,86.67,,,,,,,USA,,
02/11/2026,STARBUCKS,8.12,,,,,,,USA,,
02/11/2026,WHOLE FOODS MARKET,86.17,,,,,,,USA,,
02/21/2026,WHOLE FOODS MARKET,88.07,,,,,,,USA,,
02/22/2026,AMAZON.COM,47.11,,,,,,,USA,,
02/28/2026,AMAZON.COM,70.27,,,,,,,USA,,
02/20/2026,MCDONALDS,15.08,,,,,,,USA,,
02/01/2026,MCDONALDS,19.34,,,,,,,USA,,
02/10/2026,MCDONALDS,10.17,,,,,,,USA,,
02/26/2026,UBER,18.36,,,,,,,USA,,
02/25/2026,ONLINE PAYMENT - THANK YOU,-404.42,,,,,,,USA,,
03/17/2026,WHOLE FOODS MARKET,129.84,,,,,,,USA,,
03/13/2026,WHOLE FOODS MARKET,88.96,,,,,,,USA,,
03/03/2026,STARBUCKS,6.71,,,,,,,USA,,
03/19/2026,UBER,20.06,,,,,,,USA,,
03/18/2026,TARGET START,91.04,,,,,,,USA,,
03/28/2026,AMAZON.COM,55.91,,,,,,,USA,,
03/07/2026,UBER,28.38,,,,,,,USA,,
03/20/2026,AMAZON.COM,52.31,,,,,,,USA,,
03/25/2026,STARBUCKS,5.04,,,,,,,USA,,
03/27/2026,MCDONALDS,18.42,,,,,,,USA,,
03/25/2026,ONLINE PAYMENT - THANK YOU,-447.00,,,,,,,USA,,
