Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,State,Zip Code,Country,Reference,Category
11/13/2024,STARBUCKS,12.36,,,,,,,USA,,
11/12/2024,STARBUCKS,8.21,,,,,,,USA,,
11/21/2024,MCDONALDS,11.66,,,,,,,USA,,
11/07/2024,STARBUCKS,12.70,,,,,,,USA,,
11/25/2024,WHOLE FOODS MARKET,135.49,,,,,,,USA,,
11/08/2024,UBER,23.09,,,,,,,USA,,
11/09/2024,MCDONALDS,11.58,,,,,,,USA,,
11/28/2024,MCDONALDS,12.85,,,,,,,USA,,
11/19/2024,WHOLE FOODS MARKET,123.85,,,,,,,USA,,
11/27/2024,WHOLE FOODS MARKET,141.46,,,,,,,USA,,
11/25/2024,PAYMENT THANK YOU,-443.91,,,,,,,USA,,
12/07/2024,WHOLE FOODS MARKET,143.61,,,,,,,USA,,
12/06/2024,WHOLE FOODS MARKET,112.68,,,,,,,USA,,
12/01/2024,WHOLE FOODS MARKET,86.46,,,,,,,USA,,
12/21/2024,STARBUCKS,7.07,,,,,,,USA,,
12/22/2024,MCDONALDS,12.06,,,,,,,USA,,
12/13/2024,AMAZON.COM,55.84,,,,,,,USA,,
12/01/2024,UBER,26.93,,,,,,,USA,,
12/18/2024,STARBUCKS,10.73,,,,,,,USA,,
12/17/2024,AMAZON.COM,46.80,,,,,,,USA,,
12/23/2024,UBER,24.79,,,,,,,USA,,
12/25/2024,PAYMENT THANK YOU,-474.28,,,,,,,USA,,
01/08/2025,WHOLE FOODS MARKET,96.55,,,,,,,USA,,
01/14/2025,MCDONALDS,15.01,,,,,,,USA,,
01/07/2025,AMAZON.COM,31.79,,,,,,,USA,,
01/01/2025,TARGET START,57.79,,,,,,,USA,,
01/03/2025,AMAZON.COM,60.56,,,,,,,USA,,
01/14/2025,TARGET START,75.82,,,,,,,USA,,
01/09/2025,UBER,34.12,,,,,,,USA,,
01/16/2025,MCDONALDS,19.98,,,,,,,USA,,
01/02/2025,MCDONALDS,13.69,,,,,,,USA,,
01/04/2025,UBER,15.55,,,,,,,USA,,
01/25/2025,PAYMENT THANK YOU,-378.76,,,,,,,USA,,
02/13/2025,WHOLE FOODS MARKET,86.97,,,,,,,USA,,
02/15/2025,UBER,18.38,,,,,,,USA,,
02/15/2025,WHOLE FOODS MARKET,137.91,,,,,,,USA,,
02/16/2025,UBER,35.61,,,,,,,USA,,
02/22/2025,STARBUCKS,12.26,,,,,,,USA,,
02/27/2025,TARGET START,61.47,,,,,,,USA,,
02/14/2025,STARBUCKS,6.39,,,,,,,USA,,
02/02/2025,WHOLE FOODS MARKET,128.34,,,,,,,USA,,
02/21/2025,MCDONALDS,13.35,,,,,,,USA,,
02/19/2025,UBER,26.95,,,,,,,USA,,
02/25/2025,PAYMENT THANK YOU,-474.87,,,,,,,USA,,
03/28/2025,AMAZON.COM,53.54,,,,,,,USA,,
03/14/2025,AMAZON.COM,111.11,,,,,,,USA,,
03/16/2025,STARBUCKS,10.72,,,,,,,USA,,
03/22/2025,TARGET START,98.52,,,,,,,USA,,
03/27/2025,STARBUCKS,6.46,,,,,,,USA,,
03/03/2025,AMAZON.COM,63.55,,,,,,,USA,,
03/12/2025,UBER,19.38,,,,,,,USA,,
03/22/2025,TARGET START,51.86,,,,,,,USA,,
03/02/2025,TARGET START,68.42,,,,,,,USA,,
03/13/2025,STARBUCKS,9.52,,,,,,,USA,,
03/25/2025,PAYMENT THANK YOU,-443.76,,,,,,,USA,,
04/18/2025,UBER,37.55,,,,,,,USA,,
04/09/2025,STARBUCKS,14.46,,,,,,,USA,,
04/14/2025,TARGET START,68.19,,,,,,,USA,,
04/11/2025,TARGET START,40.59,,,,,,,USA,,
04/26/2025,AMAZON.COM,88.29,,,,,,,USA,,
04/28/2025,MCDONALDS,16.71,,,,,,,USA,,
04/14/2025,AMAZON.COM,44.60,,,,,,,USA,,
04/15/2025,TARGET START,64.53,,,,,,,USA,,
04/15/2025,UBER,40.60,,,,,,,USA,,
04/05/2025,STARBUCKS,14.20,,,,,,,USA,,
04/25/2025,PAYMENT THANK YOU,-386.75,,,,,,,USA,,
05/07/2025,STARBUCKS,5.39,,,,,,,USA,,
05/18/2025,TARGET START,92.43,,,,,,,USA,,
05/07/2025,TARGET START,53.26,,,,,,,USA,,
05/02/2025,TARGET START,50.98,,,,,,,USA,,
05/21/2025,MCDONALDS,19.61,,,,,,,USA,,
05/13/2025,TARGET START,82.61,,,,,,,USA,,
05/03/2025,AMAZON.COM,42.49,,,,,,,USA,,
05/04/2025,STARBUCKS,8.55,,,,,,,USA,,
05/01/2025,UBER,34.81,,,,,,,USA,,
05/14/2025,TARGET START,77.45,,,,,,,USA,,
05/25/2025,PAYMENT THANK YOU,-420.82,,,,,,,USA,,
06/24/2025,UBER,16.75,,,,,,,USA,,
06/08/2025,STARBUCKS,12.89,,,,,,,USA,,
06/16/2025,STARBUCKS,14.34,,,,,,,USA,,
06/12/2025,UBER,18.22,,,,,,,USA,,
06/22/2025,STARBUCKS,6.32,,,,,,,USA,,
06/07/2025,MCDONALDS,19.54,,,,,,,USA,,
06/06/2025,WHOLE FOODS MARKET,149.50,,,,,,,USA,,
06/10/2025,TARGET START,68.75,,,,,,,USA,,
06/05/2025,STARBUCKS,11.47,,,,,,,USA,,
06/12/2025,MCDONALDS,11.49,,,,,,,USA,,
06/25/2025,PAYMENT THANK YOU,-296.34,,,,,,,USA,,
07/06/2025,TARGET START,77.97,,,,,,,USA,,
07/24/2025,WHOLE FOODS MARKET,142.84,,,,,,,USA,,
07/28/2025,TARGET START,96.26,,,,,,,USA,,
07/07/2025,WHOLE FOODS MARKET,105.12,,,,,,,USA,,
07/17/2025,UBER,24.24,,,,,,,USA,,
07/17/2025,WHOLE FOODS MARKET,135.55,,,,,,,USA,,
07/06/2025,AMAZON.COM,52.33,,,,,,,USA,,
07/12/2025,UBER,18.41,,,,,,,USA,,
07/15/2025,MCDONALDS,13.86,,,,,,,USA,,
07/15/2025,TARGET START,53.85,,,,,,,USA,,
07/25/2025,PAYMENT THANK YOU,-648.39,,,,,,,USA,,
08/05/2025,TARGET START,56.74,,,,,,,USA,,
08/09/2025,STARBUCKS,9.22,,,,,,,USA,,
08/05/2025,AMAZON.COM,35.29,,,,,,,USA,,
08/19/2025,TARGET START,86.09,,,,,,,USA,,
08/01/2025,WHOLE FOODS MARKET,83.90,,,,,,,USA,,
08/06/2025,MCDONALDS,14.24,,,,,,,USA,,
08/21/2025,WHOLE FOODS MARKET,108.75,,,,,,,USA,,
08/11/2025,AMAZON.COM,73.61,,,,,,,USA,,
08/03/2025,TARGET START,89.23,,,,,,,USA,,
08/23/2025,WHOLE FOODS MARKET,100.17,,,,,,,USA,,
08/25/2025,PAYMENT THANK YOU,-591.52,,,,,,,USA,,
09/14/2025,TARGET START,58.09,,,,,,,USA,,
09/27/2025,UBER,26.77,,,,,,,USA,,
09/19/2025,STARBUCKS,8.59,,,,,,,USA,,
09/26/2025,AMAZON.COM,60.52,,,,,,,USA,,
09/14/2025,AMAZON.COM,47.65,,,,,,,USA,,
09/26/2025,AMAZON.COM,73.11,,,,,,,USA,,
09/13/2025,UBER,36.75,,,,,,,USA,,
09/04/2025,STARBUCKS,11.16,,,,,,,USA,,
09/01/2025,TARGET START,85.18,,,,,,,USA,,
09/24/2025,TARGET START,70.03,,,,,,,USA,,
09/25/2025,PAYMENT THANK YOU,-430.07,,,,,,,USA,,
10/01/2025,TARGET START,56.43,,,,,,,USA,,
10/21/2025,STARBUCKS,10.94,,,,,,,USA,,
10/16/2025,AMAZON.COM,34.89,,,,,,,USA,,
10/06/2025,MCDONALDS,13.01,,,,,,,USA,,
10/17/2025,AMAZON.COM,72.13,,,,,,,USA,,
10/07/2025,STARBUCKS,8.52,,,,,,,USA,,
10/10/2025,WHOLE FOODS MARKET,140.19,,,,,,,USA,,
10/16/2025,UBER,23.75,,,,,,,USA,,
10/18/2025,MCDONALDS,12.43,,,,,,,USA,,
10/15/2025,MCDONALDS,16.85,,,,,,,USA,,
10/25/2025,PAYMENT THANK YOU,-350.24,,,,,,,USA,,
11/19/2025,TARGET START,74.72,,,,,,,USA,,
11/03/2025,STARBUCKS,14.27,,,,,,,USA,,
11/21/2025,AMAZON.COM,26.48,,,,,,,USA,,
11/05/2025,UBER,42.81,,,,,,,USA,,
11/25/2025,MCDONALDS,14.11,,,,,,,USA,,
11/06/2025,AMAZON.COM,26.19,,,,,,,USA,,
11/03/2025,MCDONALDS,11.47,,,,,,,USA,,
11/03/2025,MCDONALDS,11.16,,,,,,,USA,,
11/04/2025,WHOLE FOODS MARKET,122.18,,,,,,,USA,,
11/11/2025,MCDONALDS,14.00,,,,,,,USA,,
11/25/2025,PAYMENT THANK YOU,-321.65,,,,,,,USA,,
12/27/2025,MCDONALDS,11.51,,,,,,,USA,,
12/06/2025,MCDONALDS,14.69,,,,,,,USA,,
12/11/2025,WHOLE FOODS MARKET,101.55,,,,,,,USA,,
12/18/2025,STARBUCKS,14.70,,,,,,,USA,,
12/05/2025,STARBUCKS,14.74,,,,,,,USA,,
12/05/2025,AMAZON.COM,102.22,,,,,,,USA,,
12/05/2025,AMAZON.COM,76.44,,,,,,,USA,,
12/19/2025,STARBUCKS,6.67,,,,,,,USA,,
12/18/2025,WHOLE FOODS MARKET,123.31,,,,,,,USA,,
12/22/2025,WHOLE FOODS MARKET,138.57,,,,,,,USA,,
12/25/2025,PAYMENT THANK YOU,-543.96,,,,,,,USA,,
01/19/2026,AMAZON.COM,82.13,,,,,,,USA,,
01/24/2026,STARBUCKS,9.81,,,,,,,USA,,
01/26/2026,WHOLE FOODS MARKET,105.73,,,,,,,USA,,
01/18/2026,STARBUCKS,13.48,,,,,,,USA,,
01/24/2026,STARBUCKS,9.95,,,,,,,USA,,
01/17/2026,MCDONALDS,13.56,,,,,,,USA,,
01/25/2026,STARBUCKS,9.59,,,,,,,USA,,
01/28/2026,TARGET START,57.62,,,,,,,USA,,
01/10/2026,MCDONALDS,19.64,,,,,,,USA,,
01/08/2026,STARBUCKS,9.40,,,,,,,USA,,
01/25/2026,PAYMENT THANK YOU,-297.83,,,,,,,USA,,
02/13/2026,STARBUCKS,7.21,,,,,,,USA,,
02/04/2026,MCDONALDS,19.39,,,,,,,USA,,
02/19/2026,MCDONALDS,18.51,,,,,,,USA,,
02/23/2026,TARGET START,40.74,,,,,,,USA,,
02/22/2026,UBER,44.33,,,,,,,USA,,
02/11/2026,WHOLE FOODS MARKET,137.08,,,,,,,USA,,
02/01/2026,STARBUCKS,12.06,,,,,,,USA,,
02/19/2026,AMAZON.COM,26.90,,,,,,,USA,,
02/02/2026,TARGET START,59.93,,,,,,,USA,,
02/01/2026,TARGET START,95.45,,,,,,,USA,,
02/25/2026,PAYMENT THANK YOU,-415.43,,,,,,,USA,,
03/07/2026,STARBUCKS,13.12,,,,,,,USA,,
03/19/2026,MCDONALDS,11.25,,,,,,,USA,,
03/11/2026,STARBUCKS,12.67,,,,,,,USA,,
03/16/2026,AMAZON.COM,77.61,,,,,,,USA,,
03/19/2026,UBER,31.01,,,,,,,USA,,
03/20/2026,WHOLE FOODS MARKET,103.00,,,,,,,USA,,
03/06/2026,WHOLE FOODS MARKET,81.11,,,,,,,USA,,
03/24/2026,TARGET START,73.15,,,,,,,USA,,
03/20/2026,MCDONALDS,11.07,,,,,,,USA,,
03/23/2026,TARGET START,41.15,,,,,,,USA,,
03/25/2026,PAYMENT THANK YOU,-409.61,,,,,,,USA,,
