Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,State,Zip Code,Country,Reference,Category
12/08/2024,WHOLE FOODS MARKET,106.26,,,,,,,USA,,
12/09/2024,AMAZON.COM,82.79,,,,,,,USA,,
12/02/2024,TARGET START,48.45,,,,,,,USA,,
12/09/2024,UBER,40.78,,,,,,,USA,,
12/04/2024,AMAZON.COM,54.01,,,,,,,USA,,
12/02/2024,WHOLE FOODS MARKET,81.50,,,,,,,USA,,
12/11/2024,WHOLE FOODS MARKET,132.66,,,,,,,USA,,
12/20/2024,WHOLE FOODS MARKET,89.04,,,,,,,USA,,
12/21/2024,MCDONALDS,11.66,,,,,,,USA,,
12/02/2024,UBER,28.91,,,,,,,USA,,
12/25/2024,MOBILE PAYMENT - THANK YOU,-608.45,,,,,,,USA,,
01/18/2025,STARBUCKS,10.98,,,,,,,USA,,
01/03/2025,AMAZON.COM,51.38,,,,,,,USA,,
01/13/2025,AMAZON.COM,105.08,,,,,,,USA,,
01/17/2025,AMAZON.COM,33.28,,,,,,,USA,,
01/23/2025,STARBUCKS,11.13,,,,,,,USA,,
01/11/2025,UBER,24.28,,,,,,,USA,,
01/25/2025,WHOLE FOODS MARKET,89.42,,,,,,,USA,,
01/17/2025,TARGET START,72.78,,,,,,,USA,,
01/19/2025,STARBUCKS,11.19,,,,,,,USA,,
01/22/2025,STARBUCKS,11.76,,,,,,,USA,,
01/25/2025,MOBILE PAYMENT - THANK YOU,-379.16,,,,,,,USA,,
02/17/2025,TARGET START,96.01,,,,,,,USA,,
02/13/2025,MCDONALDS,10.52,,,,,,,USA,,
02/16/2025,WHOLE FOODS MARKET,142.00,,,,,,,USA,,
02/26/2025,UBER,24.58,,,,,,,USA,,
02/12/2025,AMAZON.COM,74.26,,,,,,,USA,,
02/24/2025,MCDONALDS,16.62,,,,,,,USA,,
02/20/2025,MCDONALDS,19.77,,,,,,,USA,,
02/08/2025,TARGET START,99.22,,,,,,,USA,,
02/03/2025,MCDONALDS,15.12,,,,,,,USA,,
02/08/2025,STARBUCKS,9.59,,,,,,,USA,,
02/25/2025,MOBILE PAYMENT - THANK YOU,-456.94,,,,,,,USA,,
03/05/2025,WHOLE FOODS MARKET,129.51,,,,,,,USA,,
03/22/2025,TARGET START,53.00,,,,,,,USA,,
03/23/2025,WHOLE FOODS MARKET,101.93,,,,,,,USA,,
03/04/2025,STARBUCKS,8.41,,,,,,,USA,,
03/23/2025,WHOLE FOODS MARKET,84.68,,,,,,,USA,,
03/14/2025,STARBUCKS,9.49,,,,,,,USA,,
03/02/2025,WHOLE FOODS MARKET,111.69,,,,,,,USA,,
03/12/2025,STARBUCKS,11.99,,,,,,,USA,,
03/08/2025,STARBUCKS,12.59,,,,,,,USA,,
03/21/2025,WHOLE FOODS MARKET,80.44,,,,,,,USA,,
03/25/2025,MOBILE PAYMENT - THANK YOU,-543.35,,,,,,,USA,,
04/16/2025,UBER,25.93,,,,,,,USA,,
04/01/2025,STARBUCKS,10.20,,,,,,,USA,,
04/06/2025,MCDONALDS,13.51,,,,,,,USA,,
04/25/2025,AMAZON.COM,26.91,,,,,,,USA,,
04/21/2025,AMAZON.COM,83.33,,,,,,,USA,,
04/06/2025,UBER,34.19,,,,,,,USA,,
04/11/2025,WHOLE FOODS MARKET,136.22,,,,,,,USA,,
04/05/2025,TARGET START,88.53,,,,,,,USA,,
04/06/2025,UBER,41.19,,,,,,,USA,,
04/13/2025,AMAZON.COM,81.20,,,,,,,USA,,
04/25/2025,MOBILE PAYMENT - THANK YOU,-487.09,,,,,,,USA,,
05/06/2025,TARGET START,82.06,,,,,,,USA,,
05/18/2025,UBER,40.98,,,,,,,USA,,
05/24/2025,STARBUCKS,8.70,,,,,,,USA,,
05/18/2025,TARGET START,79.45,,,,,,,USA,,
05/28/2025,UBER,20.67,,,,,,,USA,,
05/05/2025,UBER,35.57,,,,,,,USA,,
05/18/2025,MCDONALDS,18.54,,,,,,,USA,,
05/05/2025,STARBUCKS,13.21,,,,,,,USA,,
05/14/2025,WHOLE FOODS MARKET,130.01,,,,,,,USA,,
05/16/2025,MCDONALDS,19.67,,,,,,,USA,,
05/25/2025,MOBILE PAYMENT - THANK YOU,-403.97,,,,,,,USA,,
06/03/2025,UBER,15.16,,,,,,,USA,,
06/10/2025,UBER,25.86,,,,,,,USA,,
06/19/2025,TARGET START,80.06,,,,,,,USA,,
06/06/2025,WHOLE FOODS MARKET,85.67,,,,,,,USA,,
06/19/2025,WHOLE FOODS MARKET,81.13,,,,,,,USA,,
06/14/2025,WHOLE FOODS MARKET,122.21,,,,,,,USA,,
06/05/2025,STARBUCKS,14.34,,,,,,,USA,,
06/22/2025,UBER,38.50,,,,,,,USA,,
06/22/2025,WHOLE FOODS MARKET,111.80,,,,,,,USA,,
06/12/2025,MCDONALDS,14.99,,,,,,,USA,,
06/25/2025,MOBILE PAYMENT - THANK YOU,-530.75,,,,,,,USA,,
07/04/2025,TARGET START,77.41,,,,,,,USA,,
07/04/2025,TARGET START,44.62,,,,,,,USA,,
07/27/2025,STARBUCKS,8.82,,,,,,,USA,,
07/07/2025,UBER,25.39,,,,,,,USA,,
07/28/2025,TARGET START,48.99,,,,,,,USA,,
07/10/2025,WHOLE FOODS MARKET,88.47,,,,,,,USA,,
07/24/2025,STARBUCKS,7.50,,,,,,,USA,,
07/26/2025,TARGET START,76.11,,,,,,,USA,,
07/04/2025,MCDONALDS,18.41,,,,,,,USA,,
07/13/2025,TARGET START,85.85,,,,,,,USA,,
07/25/2025,MOBILE PAYMENT - THANK YOU,-433.41,,,,,,,USA,,
08/07/2025,TARGET START,81.47,,,,,,,USA,,
08/02/2025,TARGET START,68.44,,,,,,,USA,,
08/19/2025,WHOLE FOODS MARKET,147.70,,,,,,,USA,,
08/17/2025,AMAZON.COM,51.93,,,,,,,USA,,
08/22/2025,TARGET START,57.43,,,,,,,USA,,
08/20/2025,TARGET START,97.87,,,,,,,USA,,
08/12/2025,STARBUCKS,7.77,,,,,,,USA,,
08/09/2025,UBER,43.11,,,,,,,USA,,
08/20/2025,TARGET START,69.78,,,,,,,USA,,
08/06/2025,AMAZON.COM,32.21,,,,,,,USA,,
08/25/2025,MOBILE PAYMENT - THANK YOU,-591.94,,,,,,,USA,,
09/17/2025,MCDONALDS,11.97,,,,,,,USA,,
09/07/2025,AMAZON.COM,45.95,,,,,,,USA,,
09/25/2025,UBER,18.87,,,,,,,USA,,
09/24/2025,TARGET START,91.08,,,,,,,USA,,
09/18/2025,WHOLE FOODS MARKET,139.71,,,,,,,USA,,
09/21/2025,MCDONALDS,15.47,,,,,,,USA,,
09/02/2025,AMAZON.COM,90.95,,,,,,,USA,,
09/20/2025,MCDONALDS,19.36,,,,,,,USA,,
09/06/2025,UBER,44.41,,,,,,,USA,,
09/14/2025,UBER,28.36,,,,,,,USA,,
09/25/2025,MOBILE PAYMENT - THANK YOU,-455.51,,,,,,,USA,,
10/10/2025,WHOLE FOODS MARKET,92.40,,,,,,,USA,,
10/11/2025,MCDONALDS,19.55,,,,,,,USA,,
10/28/2025,AMAZON.COM,26.66,,,,,,,USA,,
10/07/2025,STARBUCKS,13.52,,,,,,,USA,,
10/15/2025,MCDONALDS,19.86,,,,,,,USA,,
10/08/2025,STARBUCKS,9.51,,,,,,,USA,,
10/18/2025,AMAZON.COM,94.77,,,,,,,USA,,
10/23/2025,UBER,29.53,,,,,,,USA,,
10/25/2025,TARGET START,63.47,,,,,,,USA,,
10/03/2025,AMAZON.COM,58.81,,,,,,,USA,,
10/25/2025,MOBILE PAYMENT - THANK YOU,-385.28,,,,,,,USA,,
11/15/2025,STARBUCKS,11.42,,,,,,,USA,,
11/10/2025,MCDONALDS,12.51,,,,,,,USA,,
11/15/2025,WHOLE FOODS MARKET,96.78,,,,,,,USA,,
11/09/2025,TARGET START,52.32,,,,,,,USA,,
11/04/2025,STARBUCKS,12.16,,,,,,,USA,,
11/28/2025,MCDONALDS,17.79,,,,,,,USA,,
11/19/2025,AMAZON.COM,86.51,,,,,,,USA,,
11/19/2025,TARGET START,41.64,,,,,,,USA,,
11/12/2025,TARGET START,48.23,,,,,,,USA,,
11/11/2025,AMAZON.COM,30.28,,,,,,,USA,,
11/25/2025,MOBILE PAYMENT - THANK YOU,-368.69,,,,,,,USA,,
12/16/2025,STARBUCKS,10.24,,,,,,,USA,,
12/15/2025,MCDONALDS,14.55,,,,,,,USA,,
12/17/2025,WHOLE FOODS MARKET,94.36,,,,,,,USA,,
12/14/2025,STARBUCKS,6.84,,,,,,,USA,,
12/22/2025,UBER,24.35,,,,,,,USA,,
12/09/2025,UBER,30.56,,,,,,,USA,,
12/04/2025,UBER,33.81,,,,,,,USA,,
12/24/2025,UBER,32.42,,,,,,,USA,,
12/20/2025,UBER,27.71,,,,,,,USA,,
12/03/2025,MCDONALDS,18.14,,,,,,,USA,,
12/25/2025,MOBILE PAYMENT - THANK YOU,-263.68,,,,,,,USA,,
01/12/2026,STARBUCKS,5.10,,,,,,,USA,,
01/11/2026,TARGET START,46.00,,,,,,,USA,,
01/08/2026,STARBUCKS,14.21,,,,,,,USA,,
01/11/2026,MCDONALDS,19.64,,,,,,,USA,,
01/13/2026,TARGET START,73.03,,,,,,,USA,,
01/01/2026,MCDONALDS,12.16,,,,,,,USA,,
01/01/2026,UBER,24.15,,,,,,,USA,,
01/28/2026,WHOLE FOODS MARKET,149.66,,,,,,,USA,,
01/09/2026,STARBUCKS,6.40,,,,,,,USA,,
01/04/2026,WHOLE FOODS MARKET,100.55,,,,,,,USA,,
01/25/2026,MOBILE PAYMENT - THANK YOU,-405.80,,,,,,,USA,,
02/13/2026,UBER,44.91,,,,,,,USA,,
02/19/2026,MCDONALDS,13.13,,,,,,,USA,,
02/16/2026,WHOLE FOODS MARKET,91.41,,,,,,,USA,,
02/07/2026,MCDONALDS,19.36,,,,,,,USA,,
02/21/2026,STARBUCKS,13.00,,,,,,,USA,,
02/22/2026,MCDONALDS,18.72,,,,,,,USA,,
02/07/2026,STARBUCKS,6.14,,,,,,,USA,,
02/10/2026,MCDONALDS,12.05,,,,,,,USA,,
02/03/2026,TARGET START,65.18,,,,,,,USA,,
02/02/2026,WHOLE FOODS MARKET,82.58,,,,,,,USA,,
02/25/2026,MOBILE PAYMENT - THANK YOU,-329.83,,,,,,,USA,,
03/19/2026,AMAZON.COM,27.64,,,,,,,USA,,
03/16/2026,MCDONALDS,18.11,,,,,,,USA,,
03/19/2026,WHOLE FOODS MARKET,119.31,,,,,,,USA,,
03/03/2026,AMAZON.COM,32.88,,,,,,,USA,,
03/28/2026,TARGET START,67.85,,,,,,,USA,,
03/12/2026,TARGET START,75.50,,,,,,,USA,,
03/07/2026,UBER,30.57,,,,,,,USA,,
03/15/2026,TARGET START,48.35,,,,,,,USA,,
03/04/2026,MCDONALDS,14.92,,,,,,,USA,,
03/06/2026,TARGET START,59.63,,,,,,,USA,,
03/25/2026,MOBILE PAYMENT - THANK YOU,-445.27,,,,,,,USA,,
